Track,Weather,Laps,Avg_Tire_Wear,Optimal_Strategy
Monza,Rainy,58,1.32,2-stop (Medium→Soft→Hard)
Spa,Cloudy,53,0.89,1-stop (Medium→Hard)
Monza,Sunny,72,1.54,2-stop (Soft→Medium→Hard)
Silverstone,Cloudy,56,0.94,1-stop (Medium→Hard)
Suzuka,Sunny,51,2.29,1-stop (Soft→Hard)
Bahrain,Sunny,65,1.93,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,78,1.2,2-stop (Soft→Medium→Hard)
Spa,Sunny,61,1.1,2-stop (Soft→Medium→Hard)
Suzuka,Cloudy,78,1.17,1-stop (Medium→Hard)
Suzuka,Rainy,58,0.96,1-stop (Medium→Hard)
Bahrain,Sunny,60,2.09,1-stop (Medium→Hard)
Spa,Sunny,71,1.96,2-stop (Soft→Medium→Hard)
Spa,Cloudy,67,1.86,2-stop (Soft→Medium→Hard)
Suzuka,Sunny,73,1.71,2-stop (Soft→Medium→Hard)
Silverstone,Cloudy,66,0.94,1-stop (Medium→Hard)
Monaco,Rainy,72,1.27,1-stop (Medium→Hard)
Monaco,Rainy,57,1.31,1-stop (Soft→Hard)
Monaco,Rainy,52,1.15,2-stop (Medium→Soft→Hard)
Monaco,Sunny,55,2.16,2-stop (Soft→Medium→Hard)
Monaco,Cloudy,52,1.39,1-stop (Medium→Hard)
Spa,Rainy,53,1.12,1-stop (Medium→Hard)
Silverstone,Rainy,76,1.04,2-stop (Soft→Medium→Hard)
Monza,Sunny,66,1.04,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,60,1.16,1-stop (Medium→Hard)
Bahrain,Cloudy,68,0.84,1-stop (Medium→Hard)
Spa,Sunny,69,1.95,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,62,1.18,2-stop (Soft→Medium→Hard)
Monaco,Sunny,59,1.76,2-stop (Medium→Soft→Hard)
Silverstone,Cloudy,50,1.89,1-stop (Medium→Hard)
Monaco,Sunny,78,1.37,2-stop (Soft→Medium→Hard)
Monaco,Rainy,71,1.03,1-stop (Soft→Hard)
Monaco,Rainy,74,1.3,1-stop (Medium→Hard)
Monaco,Sunny,67,1.34,1-stop (Soft→Hard)
Suzuka,Rainy,51,0.76,1-stop (Medium→Hard)
Bahrain,Cloudy,52,1.15,2-stop (Soft→Medium→Hard)
Monza,Cloudy,76,0.99,1-stop (Medium→Hard)
Silverstone,Rainy,68,1.44,1-stop (Soft→Hard)
Silverstone,Rainy,70,1.35,2-stop (Medium→Soft→Hard)
Spa,Sunny,75,1.95,2-stop (Soft→Medium→Hard)
Monaco,Rainy,64,1.4,2-stop (Medium→Soft→Hard)
Suzuka,Cloudy,71,1.76,2-stop (Soft→Medium→Hard)
Suzuka,Sunny,73,1.28,2-stop (Medium→Soft→Hard)
Suzuka,Rainy,52,1.41,2-stop (Medium→Soft→Hard)
Silverstone,Cloudy,72,1.45,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,60,2.21,1-stop (Medium→Hard)
Spa,Cloudy,67,1.88,2-stop (Soft→Medium→Hard)
Bahrain,Rainy,78,0.95,1-stop (Medium→Hard)
Monaco,Sunny,64,1.17,2-stop (Medium→Soft→Hard)
Monza,Rainy,74,0.88,1-stop (Medium→Hard)
Spa,Cloudy,69,1.31,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,68,1.35,1-stop (Medium→Hard)
Monza,Sunny,59,2.29,2-stop (Medium→Soft→Hard)
Suzuka,Cloudy,62,0.81,1-stop (Medium→Hard)
Monza,Rainy,57,1.11,1-stop (Soft→Hard)
Monza,Rainy,65,1.03,1-stop (Soft→Hard)
Monaco,Sunny,68,1.33,1-stop (Soft→Hard)
Suzuka,Rainy,75,0.8,1-stop (Medium→Hard)
Monaco,Cloudy,57,1.21,1-stop (Soft→Hard)
Monza,Sunny,70,2.41,2-stop (Soft→Medium→Hard)
Monaco,Rainy,58,0.96,1-stop (Medium→Hard)
Monaco,Sunny,76,1.78,2-stop (Soft→Medium→Hard)
Monaco,Rainy,68,1.26,2-stop (Soft→Medium→Hard)
Spa,Sunny,70,1.55,2-stop (Soft→Medium→Hard)
Spa,Rainy,50,1.48,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,74,2.44,2-stop (Soft→Medium→Hard)
Monaco,Sunny,64,1.38,2-stop (Medium→Soft→Hard)
Suzuka,Rainy,67,1.1,1-stop (Soft→Hard)
Monaco,Cloudy,55,1.16,1-stop (Medium→Hard)
Bahrain,Cloudy,58,1.14,2-stop (Medium→Soft→Hard)
Suzuka,Cloudy,51,0.84,1-stop (Medium→Hard)
Silverstone,Rainy,58,1.19,2-stop (Medium→Soft→Hard)
Spa,Sunny,72,1.75,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,77,0.74,1-stop (Medium→Hard)
Monza,Rainy,52,0.92,1-stop (Medium→Hard)
Bahrain,Rainy,63,1.43,2-stop (Medium→Soft→Hard)
Silverstone,Cloudy,68,1.09,1-stop (Medium→Hard)
Silverstone,Cloudy,56,0.97,1-stop (Medium→Hard)
Monza,Cloudy,67,1.39,1-stop (Medium→Hard)
Spa,Sunny,56,2.48,2-stop (Soft→Medium→Hard)
Silverstone,Cloudy,68,1.09,2-stop (Soft→Medium→Hard)
Monza,Cloudy,52,1.61,1-stop (Medium→Hard)
Bahrain,Rainy,51,1.31,2-stop (Medium→Soft→Hard)
Spa,Rainy,77,0.89,1-stop (Medium→Hard)
Monaco,Rainy,65,1.28,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,55,1.55,1-stop (Medium→Hard)
Silverstone,Rainy,76,1.21,1-stop (Medium→Hard)
Silverstone,Sunny,74,1.95,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,65,1.44,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,60,0.91,1-stop (Medium→Hard)
Monaco,Cloudy,76,1.8,2-stop (Soft→Medium→Hard)
Suzuka,Rainy,64,0.96,1-stop (Medium→Hard)
Bahrain,Rainy,59,0.85,1-stop (Medium→Hard)
Monza,Sunny,54,1.06,1-stop (Soft→Hard)
Monza,Rainy,77,1.17,1-stop (Soft→Hard)
Suzuka,Sunny,55,2.02,2-stop (Soft→Medium→Hard)
Suzuka,Rainy,67,0.71,1-stop (Medium→Hard)
Monza,Rainy,56,1.11,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,77,1.07,1-stop (Medium→Hard)
Monza,Rainy,67,1.22,2-stop (Medium→Soft→Hard)
Bahrain,Cloudy,68,1.01,2-stop (Medium→Soft→Hard)
Bahrain,Cloudy,68,1.63,2-stop (Soft→Medium→Hard)
Suzuka,Cloudy,57,1.26,2-stop (Medium→Soft→Hard)
Silverstone,Rainy,50,1.45,2-stop (Soft→Medium→Hard)
Spa,Sunny,50,1.21,1-stop (Soft→Hard)
Monza,Rainy,61,0.97,1-stop (Medium→Hard)
Monaco,Cloudy,57,0.94,1-stop (Medium→Hard)
Bahrain,Sunny,60,2.39,1-stop (Soft→Hard)
Silverstone,Rainy,72,1.4,1-stop (Soft→Hard)
Spa,Rainy,60,0.91,1-stop (Medium→Hard)
Monaco,Sunny,63,1.99,2-stop (Medium→Soft→Hard)
Monaco,Cloudy,58,1.78,1-stop (Soft→Hard)
Bahrain,Rainy,67,1.14,1-stop (Medium→Hard)
Monza,Sunny,59,1.79,1-stop (Medium→Hard)
Monaco,Cloudy,52,1.09,2-stop (Soft→Medium→Hard)
Suzuka,Rainy,66,0.77,1-stop (Medium→Hard)
Spa,Rainy,63,1.42,2-stop (Soft→Medium→Hard)
Monaco,Rainy,77,1.42,1-stop (Soft→Hard)
Monaco,Cloudy,78,1.56,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,75,1.21,2-stop (Medium→Soft→Hard)
Monaco,Cloudy,61,1.22,1-stop (Soft→Hard)
Monza,Cloudy,63,1.67,1-stop (Medium→Hard)
Suzuka,Sunny,58,2.35,2-stop (Soft→Medium→Hard)
Monza,Cloudy,56,1.86,2-stop (Medium→Soft→Hard)
Suzuka,Sunny,78,2.17,2-stop (Soft→Medium→Hard)
Suzuka,Rainy,70,1.21,2-stop (Medium→Soft→Hard)
Silverstone,Cloudy,69,0.9,1-stop (Medium→Hard)
Spa,Sunny,55,1.24,1-stop (Soft→Hard)
Silverstone,Cloudy,60,1.88,2-stop (Soft→Medium→Hard)
Monza,Sunny,68,1.91,2-stop (Soft→Medium→Hard)
Monaco,Cloudy,65,0.81,1-stop (Medium→Hard)
Suzuka,Cloudy,66,0.92,1-stop (Medium→Hard)
Bahrain,Sunny,51,2.0,1-stop (Soft→Hard)
Bahrain,Cloudy,76,0.81,1-stop (Medium→Hard)
Silverstone,Sunny,78,1.24,1-stop (Medium→Hard)
Silverstone,Cloudy,51,1.46,1-stop (Soft→Hard)
Spa,Sunny,71,2.04,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,76,1.58,2-stop (Soft→Medium→Hard)
Monaco,Sunny,72,1.34,1-stop (Soft→Hard)
Suzuka,Cloudy,73,1.65,2-stop (Soft→Medium→Hard)
Monza,Rainy,52,0.89,1-stop (Medium→Hard)
Silverstone,Sunny,74,1.49,2-stop (Soft→Medium→Hard)
Spa,Rainy,72,1.3,1-stop (Medium→Hard)
Silverstone,Cloudy,56,1.58,1-stop (Medium→Hard)
Monza,Rainy,58,1.38,2-stop (Medium→Soft→Hard)
Monaco,Cloudy,53,1.59,1-stop (Soft→Hard)
Silverstone,Rainy,65,1.15,2-stop (Medium→Soft→Hard)
Monaco,Rainy,69,0.77,1-stop (Medium→Hard)
Bahrain,Cloudy,56,1.24,1-stop (Soft→Hard)
Monaco,Sunny,63,1.4,2-stop (Soft→Medium→Hard)
Monaco,Cloudy,65,1.09,2-stop (Soft→Medium→Hard)
Bahrain,Rainy,50,1.48,1-stop (Soft→Hard)
Monaco,Rainy,57,1.01,1-stop (Medium→Hard)
Monaco,Sunny,51,2.34,1-stop (Soft→Hard)
Monaco,Rainy,60,1.2,2-stop (Medium→Soft→Hard)
Spa,Sunny,71,2.19,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,52,1.4,2-stop (Soft→Medium→Hard)
Spa,Rainy,52,1.16,1-stop (Soft→Hard)
Spa,Sunny,53,1.74,1-stop (Soft→Hard)
Silverstone,Sunny,71,1.29,1-stop (Soft→Hard)
Monza,Cloudy,55,1.67,1-stop (Medium→Hard)
Suzuka,Sunny,56,1.42,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,72,0.72,1-stop (Medium→Hard)
Bahrain,Cloudy,56,1.57,1-stop (Medium→Hard)
Spa,Cloudy,66,1.01,2-stop (Medium→Soft→Hard)
Silverstone,Cloudy,73,1.93,2-stop (Soft→Medium→Hard)
Monza,Cloudy,72,1.94,2-stop (Soft→Medium→Hard)
Monza,Cloudy,62,1.9,1-stop (Medium→Hard)
Monaco,Rainy,59,1.0,1-stop (Medium→Hard)
Suzuka,Rainy,59,0.71,1-stop (Medium→Hard)
Monza,Rainy,74,1.44,2-stop (Medium→Soft→Hard)
Bahrain,Cloudy,78,1.31,2-stop (Medium→Soft→Hard)
Monza,Cloudy,58,1.96,1-stop (Soft→Hard)
Silverstone,Sunny,74,2.45,2-stop (Soft→Medium→Hard)
Monaco,Rainy,57,1.38,1-stop (Soft→Hard)
Spa,Cloudy,56,1.15,1-stop (Medium→Hard)
Spa,Sunny,50,1.58,1-stop (Soft→Hard)
Monza,Cloudy,58,1.82,2-stop (Medium→Soft→Hard)
Monaco,Cloudy,77,1.18,2-stop (Medium→Soft→Hard)
Monaco,Sunny,73,1.25,1-stop (Medium→Hard)
Suzuka,Sunny,76,1.84,2-stop (Soft→Medium→Hard)
Monaco,Sunny,60,2.4,1-stop (Soft→Hard)
Spa,Cloudy,51,1.64,2-stop (Medium→Soft→Hard)
Spa,Cloudy,73,1.48,1-stop (Soft→Hard)
Monza,Sunny,72,1.15,1-stop (Medium→Hard)
Monza,Cloudy,57,1.54,1-stop (Medium→Hard)
Bahrain,Rainy,55,1.49,2-stop (Medium→Soft→Hard)
Suzuka,Rainy,60,0.81,1-stop (Medium→Hard)
Monza,Rainy,62,1.11,2-stop (Medium→Soft→Hard)
Spa,Rainy,61,1.4,1-stop (Medium→Hard)
Silverstone,Cloudy,59,1.69,2-stop (Soft→Medium→Hard)
Bahrain,Rainy,61,1.26,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,67,1.26,1-stop (Soft→Hard)
Silverstone,Cloudy,50,1.23,2-stop (Medium→Soft→Hard)
Silverstone,Sunny,62,1.44,1-stop (Medium→Hard)
Bahrain,Cloudy,51,1.77,2-stop (Medium→Soft→Hard)
Monza,Rainy,55,1.35,2-stop (Soft→Medium→Hard)
Suzuka,Cloudy,71,1.84,2-stop (Soft→Medium→Hard)
Suzuka,Rainy,60,1.43,1-stop (Soft→Hard)
Silverstone,Sunny,71,1.77,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,58,1.1,1-stop (Soft→Hard)
Suzuka,Cloudy,74,1.76,2-stop (Soft→Medium→Hard)
Spa,Cloudy,50,1.58,1-stop (Soft→Hard)
Suzuka,Rainy,78,1.26,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,56,2.19,1-stop (Medium→Hard)
Suzuka,Rainy,66,1.41,1-stop (Soft→Hard)
Spa,Sunny,66,1.51,2-stop (Soft→Medium→Hard)
Spa,Rainy,56,1.0,1-stop (Soft→Hard)
Monza,Sunny,53,1.14,1-stop (Soft→Hard)
Bahrain,Sunny,52,1.87,1-stop (Soft→Hard)
Silverstone,Rainy,64,0.73,1-stop (Medium→Hard)
Monaco,Rainy,76,1.07,1-stop (Medium→Hard)
Monza,Sunny,70,1.81,2-stop (Soft→Medium→Hard)
Spa,Rainy,72,0.93,1-stop (Medium→Hard)
Monza,Cloudy,56,1.51,2-stop (Soft→Medium→Hard)
Suzuka,Cloudy,63,0.84,1-stop (Medium→Hard)
Monaco,Cloudy,74,0.84,1-stop (Medium→Hard)
Bahrain,Sunny,58,2.23,2-stop (Medium→Soft→Hard)
Suzuka,Rainy,52,0.99,1-stop (Medium→Hard)
Spa,Sunny,57,1.19,1-stop (Soft→Hard)
Monaco,Rainy,58,1.12,2-stop (Soft→Medium→Hard)
Silverstone,Cloudy,66,1.72,2-stop (Soft→Medium→Hard)
Monaco,Cloudy,63,1.06,1-stop (Soft→Hard)
Monaco,Rainy,68,1.2,1-stop (Soft→Hard)
Bahrain,Sunny,64,1.13,2-stop (Soft→Medium→Hard)
